Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.000833511,21.10275841,9.020708084,33.26319885,9.041707993,30.46803093,9.063062668,34.32292938,9.083395004,31.23504066,9.104729652,31.99174309,9.125749588,23.55883789,9.14604187,21.89992714,9.16637516,28.6764698,9.187749863,35.88044739,
10.00083351,22.85953712,10.02204227,30.95782661,10.04306221,35.09669495,10.06424999,33.10264587,10.08547878,31.41617775,10.10670853,32.80418015,10.126791,26.02560616,10.14804173,21.88593102,10.16904163,25.90081787,10.1900835,35.73810196,
11.00083351,23.81653214,11.02058315,32.82392883,11.04195881,36.80184937,11.06256199,32.85952759,11.08370876,29.57917786,11.1050415,32.24476624,11.12589645,25.12865448,11.14645767,22.18354607,11.16779137,29.89004517,11.18870831,31.42837143,
12.00083351,24.62924194,12.02039623,29.90057755,12.04120827,32.10188675,12.06189537,34.21961975,12.08325005,31.14935303,12.10431194,33.71088028,12.12462425,20.55792999,12.14573002,24.14491844,12.16656303,29.54917908,12.18789577,32.04484558,
13.00083351,24.73893547,13.02054119,29.09328461,13.04106236,36.40912628,13.06256199,33.94548035,13.08308315,28.58551025,13.10372925,33.68910217,13.12404156,25.03374672,13.14522934,22.80471802,13.16570854,29.01991272,13.18675041,33.88489151,
14.00083351,23.3757782,14.0215826,31.39836311,14.04297924,34.59778214,14.06356239,34.20585632,14.08445835,27.02963448,14.1052084,33.15421295,14.12570763,26.324543,14.14656258,20.76243973,14.16837502,22.84554672,14.18870831,32.44074249,
15.00083351,23.61425972,15.02208328,30.82491302,15.04245853,35.93151855,15.06370831,32.45497513,15.08391666,28.04546738,15.10497952,28.69412804,15.12570763,21.87739182,15.1467495,25.24615669,15.1675415,21.65994453,15.18872929,33.80268097,
16.00083351,28.22964096,16.02147865,32.70014191,16.04170799,34.77889633,16.06320763,32.65602112,16.08437538,30.17970467,16.10458374,30.99853897,16.12554169,26.96874237,16.14604187,22.92675972,16.16737556,23.29788589,16.18820763,30.75500488,
17.00083351,22.20888519,17.02170753,27.74518394,17.0419178,35.98033142,17.06308365,30.78742027,17.08420753,31.08387375,17.1052494,30.21015739,17.12554169,24.96096039,17.14581299,24.30572319,17.16695786,21.85411453,17.18854141,33.1132431,
18.00083351,27.19306564,18.02145767,28.50663948,18.04247856,35.03688812,18.06370926,33.41030884,18.08389473,26.29416656,18.10545921,32.91374588,18.12581253,21.10651779,18.14720917,20.94895172,18.16739464,23.21883583,18.18879128,30.95062637,
19.00083351,24.9468174,19.02120781,29.81862259,19.0422287,32.56681442,19.06279182,32.17977905,19.08320999,28.08806992,19.10389519,32.59080887,19.12475014,22.79390144,19.14587402,22.03452873,19.16622925,23.17203712,19.1872921,34.25709152,
20.00083351,25.05834579,20.02220917,29.8442173,20.04256248,37.46747971,20.06374931,28.6101532,20.0840416,31.97781372,20.10539627,29.08163261,20.12587547,23.4964695,20.14687538,24.09697914,20.1672287,20.24910545,20.18904305,31.69627571,
21.00083351,24.55044174,21.02156258,27.18793488,21.04239464,36.15631104,21.06289673,37.31906128,21.08312607,29.50535965,21.10454178,32.32508469,21.12554169,24.97928238,21.14572906,22.48541069,21.16639519,23.64292526,21.18758392,26.83250809,
22.00083351,28.03537178,22.0212307,27.37244415,22.04208374,33.88090515,22.06264687,31.82263756,22.0837307,27.77639771,22.10429001,30.41579819,22.12537384,26.30235672,22.1465416,23.75622749,22.16756248,21.76257133,22.1881237,34.41942596,
23.00083351,27.4686985,23.02070999,33.40061569,23.04106331,32.29940033,23.06245995,33.28544617,23.08304214,30.47536659,23.10322952,35.00208664,23.12441635,25.71711159,23.14512444,24.16918373,23.16654205,22.66569901,23.1868763,33.3649292,
24.00083351,27.11288452,24.02220917,29.26113892,24.04256248,31.81440353,24.06291771,33.53822327,24.08412552,28.96453667,24.10437393,31.03974915,24.12556076,22.64020348,24.14662552,23.30135155,24.16637611,24.94960785,24.18722916,32.77283478,
25.00083351,22.54007339,25.02170753,28.55805397,25.0422287,32.17191696,25.06274986,30.40389442,25.08370781,30.23726845,25.10470772,26.50125504,25.12523079,25.06380272,25.14554214,22.64997482,25.16656303,20.6881752,25.18708229,31.06209946,
26.00083351,25.79623032,26.02245903,29.77299881,26.04270744,33.80029678,26.06358147,36.42969513,26.0840416,30.98950195,26.1050415,32.19371796,26.12606239,24.00492859,26.14645767,23.0270462,26.16831207,26.85313225,26.18879128,32.92869568,
27.00083351,26.28900146,27.02137375,32.42296219,27.0425415,32.78210068,27.06287384,32.68362808,27.08325005,33.04566574,27.10448074,33.11484146,27.12570763,23.20762444,27.1462307,24.80959129,27.16737556,21.19460487,27.18773079,32.06457138,
28.00083351,25.99714088,28.02089691,29.25321579,28.0419178,37.281147,28.06341743,33.111763,28.0840416,28.90973663,28.10522842,33.64132309,28.12558365,24.57614708,28.14697838,21.89035034,28.1672287,23.1507473,28.18841743,30.31128502,
29.00083351,27.32012939,29.02095795,30.27162552,29.04247856,35.58974075,29.06287384,35.29588699,29.08339691,33.65103912,29.10429001,30.80051231,29.12529182,27.12787437,29.14672852,23.33084488,29.16687393,22.66295815,29.18804169,33.84675598,
30.00083351,26.07043839,30.02139473,30.68294334,30.04224968,33.3614006,30.06287384,33.10100174,30.08353996,30.519907,30.10389519,29.18590546,30.12475014,22.94906425,30.14603996,18.14121628,30.16720772,23.91920662,30.1877079,35.88499069,
31.00083351,24.37372971,31.02158356,30.30229187,31.04247856,33.88955688,31.06304169,35.96242142,31.0840416,28.77213287,31.10522842,32.63930893,31.12572861,22.950037,31.14624977,23.61151505,31.16741753,21.28848839,31.18870926,33.30511475,
32.00083542,25.78668022,32.02072906,28.37956429,32.04156113,32.14463806,32.06337357,31.05740166,32.08356476,31.84292793,32.10391617,27.92998123,32.12474823,22.62708473,32.14541626,23.17904854,32.1668129,18.21082306,32.18770599,32.32032013,
33.00083542,25.75883484,33.02137375,31.84305191,33.0422287,35.43057632,33.06262589,36.00642395,33.0828743,26.3502655,33.10341644,32.88157654,33.12471008,23.50354195,33.14521027,24.27576065,33.16658401,21.54429436,33.18695831,30.07932091,
34.00083542,24.63528442,34.02137375,27.21139336,34.04272842,32.86327362,34.06322861,34.65479279,34.08345795,33.05253983,34.10454178,30.37837601,34.12539673,22.15816116,34.1458931,21.55782127,34.16639328,19.14139366,34.18745804,32.83036804,
35.00083542,25.26960754,35.02187347,31.44109344,35.04306412,32.74400711,35.0631485,34.80283737,35.08437347,27.42933083,35.10537338,29.90769196,35.12556076,23.66412163,35.14687347,22.24815559,35.16789627,22.47162628,35.18820953,34.1667099,
